scheme_id,scheme_name,category,government,department,description,beneficiary,eligibility,benefits,required_documents,application_mode,official_link,status
MHAG069,National Bamboo Mission – Farm Boundary Agro-Forestry Plantation Subsidy,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for National Bamboo Mission – Farm Boundary Agro-Forestry Plantation Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG070,High-Density Orchard Rejuvenation and Canopy Management Scheme,Horticulture Crop Variants & Protected Farming,Central/State,Horticulture Department,Government support for High-Density Orchard Rejuvenation and Canopy Management Scheme.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://midh.gov.in,Active
MHAG071,State Plantation Promotion Scheme for Exotic Fruit Varieties (Dragon Fruit/Avocado),Horticulture Crop Variants & Protected Farming,State,"Agriculture Department, Maharashtra",Government support for State Plantation Promotion Scheme for Exotic Fruit Varieties (Dragon Fruit/Avocado).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG072,Integrated Development of Floriculture under Protected Structures,Horticulture Crop Variants & Protected Farming,State,"Agriculture Department, Maharashtra",Government support for Integrated Development of Floriculture under Protected Structures.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG073,National Beekeeping and Honey Mission (NBHM) – Bee Box and Colony Grant,Horticulture Crop Variants & Protected Farming,State,"Agriculture Department, Maharashtra",Government support for National Beekeeping and Honey Mission (NBHM) – Bee Box and Colony Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG074,Coconut Development Board – Coastal Replanting and Rejuvenation Subsidy,Horticulture Crop Variants & Protected Farming,State,"Agriculture Department, Maharashtra",Government support for Coconut Development Board – Coastal Replanting and Rejuvenation Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG075,Subsidized UV-Stabilized Plastic Mulching Film Component,Horticulture Crop Variants & Protected Farming,State,"Agriculture Department, Maharashtra",Government support for Subsidized UV-Stabilized Plastic Mulching Film Component.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG076,Onion Storage Structure (Kanda Chawl – 25 MT Standard Unit) Subsidy,"Post-Harvest Storage, Processing & FPO Infrastructure",State,"Agriculture Department, Maharashtra",Government support for Onion Storage Structure (Kanda Chawl – 25 MT Standard Unit) Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG077,Agricultural Infrastructure Fund (AIF) – 3% Interest Subvention Facility,"Post-Harvest Storage, Processing & FPO Infrastructure",State,"Agriculture Department, Maharashtra",Government support for Agricultural Infrastructure Fund (AIF) – 3% Interest Subvention Facility.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG078,PMFME Scheme – Micro Food Processing Unit Upgradation Capital Grant,"Post-Harvest Storage, Processing & FPO Infrastructure",State,"Agriculture Department, Maharashtra",Government support for PMFME Scheme – Micro Food Processing Unit Upgradation Capital Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG079,SMART Project – Integrated Sorting and Grading Packhouse Facility for FPOs,"Post-Harvest Storage, Processing & FPO Infrastructure",State,"Agriculture Department, Maharashtra",Government support for SMART Project – Integrated Sorting and Grading Packhouse Facility for FPOs.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG080,SMART Project – Primary Agri-Commodity Processing Unit (PPU) Subsidy,"Post-Harvest Storage, Processing & FPO Infrastructure",State,"Agriculture Department, Maharashtra",Government support for SMART Project – Primary Agri-Commodity Processing Unit (PPU) Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG081,State Agro-Processing Cluster (APC) Development Common Facility Infrastructure Grant,"Post-Harvest Storage, Processing & FPO Infrastructure",Central,Department of Agriculture & Farmers Welfare,Government support for State Agro-Processing Cluster (APC) Development Common Facility Infrastructure Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://agriinfra.dac.gov.in,Active
MHAG082,Integrated Cold Chain and Pre-Cooling Chamber Subsidies,"Post-Harvest Storage, Processing & FPO Infrastructure",Central,Department of Agriculture & Farmers Welfare,Government support for Integrated Cold Chain and Pre-Cooling Chamber Subsidies.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://agriinfra.dac.gov.in,Active
MHAG083,Operation Greens – 50% Crop Transportation and Cold Storage Subsidy,"Post-Harvest Storage, Processing & FPO Infrastructure",Central,Department of Agriculture & Farmers Welfare,Government support for Operation Greens – 50% Crop Transportation and Cold Storage Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://agriinfra.dac.gov.in,Active
MHAG084,Warehouse Receipts Financing Scheme (State Warehousing Corporation Interest Discount),"Post-Harvest Storage, Processing & FPO Infrastructure",Central,Department of Agriculture & Farmers Welfare,Government support for Warehouse Receipts Financing Scheme (State Warehousing Corporation Interest Discount).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://agriinfra.dac.gov.in,Active
MHAG085,Automated Electronic Sorter and Moisture Meter Supply for Farmer Groups,"Post-Harvest Storage, Processing & FPO Infrastructure",Central,Department of Agriculture & Farmers Welfare,Government support for Automated Electronic Sorter and Moisture Meter Supply for Farmer Groups.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://agriinfra.dac.gov.in,Active
MHAG086,Soil Health Card Scheme (Free Soil Sampling and Nutrient Profiling),"Soil Health, Seeds & Sustainable Bio-Farming",Central,Department of Agriculture & Farmers Welfare,Government support for Soil Health Card Scheme (Free Soil Sampling and Nutrient Profiling).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://soilhealth.dac.gov.in,Active
MHAG087,Paramparagat Krishi Vikas Yojana (PKVY) – Organic Contiguous Cluster Farming Grant,"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for Paramparagat Krishi Vikas Yojana (PKVY) – Organic Contiguous Cluster Farming Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG088,PKVY Component – Large Area Certification (Free Bio-Chemical Residue Testing),"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for PKVY Component – Large Area Certification (Free Bio-Chemical Residue Testing).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG089,Dr. Punjabrao Deshmukh Jaivik Sheti Mission – Organic Input Production Unit Subsidy,"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for Dr. Punjabrao Deshmukh Jaivik Sheti Mission – Organic Input Production Unit Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG090,National Project on Organic Farming – Commercial Vermicompost Brick Structure Grant,"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for National Project on Organic Farming – Commercial Vermicompost Brick Structure Grant.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG091,Rainfed Area Development Programme (RADP) – Integrated Farming System (IFS) Subsidy,"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for Rainfed Area Development Programme (RADP) – Integrated Farming System (IFS) Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG092,National Food Security Mission (NFSM) – Certified Soyabean Seed Hub Distribution,"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for National Food Security Mission (NFSM) – Certified Soyabean Seed Hub Distribution.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG093,NFSM Component – Certified Wheat and Pulse Seed Minikit Subsidy,"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for NFSM Component – Certified Wheat and Pulse Seed Minikit Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG094,Green Manuring Seed Bag Distribution Scheme (Dhaincha/Sunnhemp Subsidies),"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for Green Manuring Seed Bag Distribution Scheme (Dhaincha/Sunnhemp Subsidies).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG095,Integrated Pest Management (IPM) Pheromone Trap and Trichocard Demonstration Plot,"Soil Health, Seeds & Sustainable Bio-Farming",State,"Agriculture Department, Maharashtra",Government support for Integrated Pest Management (IPM) Pheromone Trap and Trichocard Demonstration Plot.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG096,Dr. Babasaheb Ambedkar Krushi Swavalamban Yojana (SC Farm Irrigation Infrastructure),Social Upliftment & Special Category Farm Programs,State,"Agriculture Department, Maharashtra",Government support for Dr. Babasaheb Ambedkar Krushi Swavalamban Yojana (SC Farm Irrigation Infrastructure).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG097,Birsa Munda Krishi Kranti Yojana – TSP Area (ST Complete Irrigation Grant),Social Upliftment & Special Category Farm Programs,State,Tribal Development Department,Government support for Birsa Munda Krishi Kranti Yojana – TSP Area (ST Complete Irrigation Grant).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://tribal.maharashtra.gov.in,Active
MHAG098,Birsa Munda Krishi Kranti Yojana – OTSP Area (ST Out-of-Sub-Plan Irrigation Grant),Social Upliftment & Special Category Farm Programs,State,Tribal Development Department,Government support for Birsa Munda Krishi Kranti Yojana – OTSP Area (ST Out-of-Sub-Plan Irrigation Grant).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://tribal.maharashtra.gov.in,Active
MHAG099,Mahila Kisan Sashaktikaran Pariyojana (MKSP Organic Agri-Tool Provision),Social Upliftment & Special Category Farm Programs,State,"Agriculture Department, Maharashtra",Government support for Mahila Kisan Sashaktikaran Pariyojana (MKSP Organic Agri-Tool Provision).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG100,Dr. Shyamprasad Mukherjee Jan-Van Vikas Scheme (Tiger Reserve Buffer Zone Crop Protection),Social Upliftment & Special Category Farm Programs,State,"Agriculture Department, Maharashtra",Government support for Dr. Shyamprasad Mukherjee Jan-Van Vikas Scheme (Tiger Reserve Buffer Zone Crop Protection).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
